complaint_id,product_code,received_date,close_date,event_description,imdrf_code,regulatory_market,status,quality_issue
CMP-2021-00281,KWQ,2024-01-04,,"Clinician reported Intramedullary Nail leak during balloon inflation. Procedure was posterior lumbar interbody fusion (PLIF). Patient experienced minor blood loss, no intervention required. Device lot LOT3125939 returned for analysis. The event occurred during the first inflation cycle.",A0501,EU,Open,
CMP-2023-00884,QPP,2022-07-12,2022-10-09,User reported that the Titanium Rod hub cracked upon connection to the extension set. No patient injury. Device was discarded and procedure completed with a replacement device. Complaint originated from a hospital in US market.,A1501,US,Closed,
CMP-2023-00762,KZG,2024-04-09,2024-05-10,Customer reported that the Needle/Catheter fractured intraoperatively during anterior cervical discectomy and fusion (ACDF). The patient is a 49-year-old male. The device was implanted 650 days prior to the reported event. Surgeon noted the fracture occurred during rod contouring. No patient injury reported at time of event. Sample return requested. Lot number LOT7533553.,A2001,AU,Closed,
CMP-2022-00320,DXX,2023-06-26,2023-09-07,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A1601,IN,Closed,
CMP-2022-00550,XXX-999,2021-01-08,2021-03-23,"Clinician reported Locking Plate leak during balloon inflation. Procedure was percutaneous transluminal angioplasty (PTA). Patient experienced minor blood loss, no intervention required. Device lot LOT8159710 returned for analysis. The event occurred during the first inflation cycle.",A1501,IN,Closed,Unknown product_code; 
CMP-2021-00175,DXX,2024-03-14,2024-04-10,"User reported that the hazardous drug Catheter Hub connector leaked during disconnection, resulting in staff exposure to chemotherapy agent. Occupational health protocol activated. Incident reported to hospital safety committee.",A0101,US,Closed,
CMP-2022-00372,KWQ,2021-12-28,,"Catheter reported to have kinked proximal to the Intramedullary Nail during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A1301,AU,Open,
CMP-2022-00528,FTZ,2022-09-06,2022-10-17,Customer reported that the sterile packaging seal was compromised on arrival. The device was not used. Complaint received during incoming inspection. Lot LOT7745396. Packaging integrity testing requested on retained samples.,A2001,CA,Closed,
CMP-2021-00211,FRN,2022-07-17,2022-08-18,User reported that the Balloon hub cracked upon connection to the extension set. No patient injury. Device was discarded and procedure completed with a replacement device. Complaint originated from a hospital in CA market.,A0501,CA,Closed,
CMP-2021-00236,KZG,2022-05-27,2022-06-26,Reported that the Needle/Catheter needle bent on insertion attempt. Three unsuccessful insertion attempts made. Patient experienced pain and bruising at insertion site. IV access established with replacement device.,A1001,US,Closed,
CMP-2021-00102,FRY,2024-04-11,,Field service engineer noted Drip Chamber separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 344 days post-implant. Patient age: 30 years.,A0101,CA,Investigating,
CMP-2024-00987,OZO,2021-10-30,2021-11-21,Field service engineer noted Connector separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 368 days post-implant. Patient age: 41 years.,A1301,CA,Closed,
CMP-2024-00903,FTZ,2024-04-23,2024-06-28,Reported that the Plunger needle bent on insertion attempt. Three unsuccessful insertion attempts made. Patient experienced pain and bruising at insertion site. IV access established with replacement device.,A0105,JP,Closed,
CMP-2024-00948,FRY,2022-06-21,,"Clinician reported Drip Chamber leak during balloon inflation. Procedure was coronary balloon dilatation. Patient experienced minor blood loss, no intervention required. Device lot LOT4553086 returned for analysis. The event occurred during the first inflation cycle.",A1001,IN,Investigating,
CMP-2022-00347,KWQ,2022-05-29,2022-07-08,Nurse reported that the Intramedullary Nail drip chamber cracked upon spiking the IV bag. IV solution leaked onto the patient's bed. Procedure delayed by 15 minutes. No patient harm. Device returned. Lot LOT4778826.,A2001,US,Closed,
CMP-2021-00140,FTZ,2022-12-01,2022-12-19,"Catheter reported to have kinked proximal to the Plunger during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A1501,US,Closed,
CMP-2023-00622,KZH,2021-06-08,2021-06-28,Nurse reported that the Locking Plate drip chamber cracked upon spiking the IV bag. IV solution leaked onto the patient's bed. Procedure delayed by 15 minutes. No patient harm. Device returned. Lot LOT3162145.,A1701,US,Closed,
CMP-2022-00500,QPP,2022-03-24,2022-05-24,"Clinician reported Titanium Rod leak during balloon inflation. Procedure was coronary balloon dilatation. Patient experienced minor blood loss, no intervention required. Device lot LOT4712584 returned for analysis. The event occurred during the first inflation cycle.",A1501,US,Closed,
CMP-2022-00371,KZG,2022-10-24,2023-01-04,Hospital reported post-operative imaging revealed Needle/Catheter bending beyond acceptable limits. Patient required revision surgery. The device was implanted 621 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A1001,JP,Closed,
CMP-2021-00199,DXX,2021-10-22,2021-11-17,Nurse reported that the Catheter Hub drip chamber cracked upon spiking the IV bag. IV solution leaked onto the patient's bed. Procedure delayed by 15 minutes. No patient harm. Device returned. Lot LOT6457472.,A0105,JP,Closed,
CMP-2023-00688,KZH,2023-01-24,2023-03-19,Customer reported that the sterile packaging seal was compromised on arrival. The device was not used. Complaint received during incoming inspection. Lot LOT8143682. Packaging integrity testing requested on retained samples.,A1701,BR,Closed,
CMP-2022-00585,QPP,2024-03-13,2024-05-21,User reported that the Titanium Rod hub cracked upon connection to the extension set. No patient injury. Device was discarded and procedure completed with a replacement device. Complaint originated from a hospital in IN market.,A1501,IN,Closed,
CMP-2024-00902,QPP,2021-08-24,2021-11-11,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A2001,AU,Closed,
CMP-2021-00060,KZE,2024-08-23,,Syringe plunger reported to have detached from the barrel during medication administration. Medication was lost. No patient injury. Complaint received directly from nursing staff.,A0501,IN,Investigating,
CMP-2022-00329,QPP,2023-08-10,2023-11-01,,A0801,US,Closed,Missing event_description; 
CMP-2021-00097,KZG,2024-06-09,,"Clinical engineer reported that the device software displayed an incorrect calibration reading, prompting a clinical hold. Firmware version v2.5.35. No patient harm. Device isolated for software diagnostic.",A0801,AU,Open,
CMP-2022-00313,FRY,2024-01-06,2024-02-05,"Clinician reported Drip Chamber leak during balloon inflation. Procedure was total hip arthroplasty. Patient experienced minor blood loss, no intervention required. Device lot LOT3996787 returned for analysis. The event occurred during the first inflation cycle.",A0101,AU,Closed,
CMP-2024-00975,OZO,2022-04-21,2022-05-10,Hospital reported post-operative imaging revealed Connector bending beyond acceptable limits. Patient required revision surgery. The device was implanted 602 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A0601,EU,Closed,
CMP-2022-00300,KZH,2023-06-20,2023-08-15,Hospital reported post-operative imaging revealed Locking Plate bending beyond acceptable limits. Patient required revision surgery. The device was implanted 400 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A1301,US,Closed,
CMP-2021-00278,KZE,2024-04-07,2024-05-04,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A0301,IN,Closed,
CMP-2024-00925,KZE,2024-07-22,2024-08-27,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A1001,AU,Closed,
CMP-2023-00602,MQP,2021-06-02,2021-07-23,User reported that the Pedicle Screw hub cracked upon connection to the extension set. No patient injury. Device was discarded and procedure completed with a replacement device. Complaint originated from a hospital in BR market.,A0301,BR,Closed,
CMP-2022-00440,QPP,2021-08-19,2021-09-19,Hospital reported post-operative imaging revealed Titanium Rod bending beyond acceptable limits. Patient required revision surgery. The device was implanted 471 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A0105,BR,Closed,
CMP-2023-00838,QPP,2021-06-29,2021-09-17,Nurse reported that the Titanium Rod drip chamber cracked upon spiking the IV bag. IV solution leaked onto the patient's bed. Procedure delayed by 15 minutes. No patient harm. Device returned. Lot LOT4857678.,A1701,EU,Closed,
CMP-2022-00571,KZG,2021-06-27,2021-09-22,Customer reported that the sterile packaging seal was compromised on arrival. The device was not used. Complaint received during incoming inspection. Lot LOT4677442. Packaging integrity testing requested on retained samples.,A0801,JP,Closed,
CMP-2023-00880,FRN,2023-05-03,2023-07-26,Field service engineer noted Balloon separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 515 days post-implant. Patient age: 74 years.,A0105,CA,Closed,
CMP-2021-00262,FRY,2021-08-09,2021-09-18,"Catheter reported to have kinked proximal to the Drip Chamber during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A1301,CA,Closed,
CMP-2022-00579,KZG,2024-02-01,2024-03-24,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A0301,EU,Closed,
CMP-2021-00024,FRY,2024-06-30,2024-08-26,"Catheter reported to have kinked proximal to the Drip Chamber during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A1701,IN,Closed,
CMP-2021-00031,FRY,2023-02-06,2023-04-22,Hospital reported post-operative imaging revealed Drip Chamber bending beyond acceptable limits. Patient required revision surgery. The device was implanted 395 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A2001,CA,Closed,
CMP-2023-00618,FRY,,2023-04-07,Field service engineer noted Drip Chamber separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 289 days post-implant. Patient age: 71 years.,A1001,US,Closed,Missing received_date; 
CMP-2021-00011,QPP,2024-10-05,2024-10-28,"Catheter reported to have kinked proximal to the Titanium Rod during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A2001,IN,Closed,
CMP-2021-00222,OZO,2022-06-20,2022-07-23,Pharmacy reported that the Connector lid mechanism failed to activate the locking feature after designated fill level was reached. Potential needlestick hazard identified. No injury occurred. Device quarantined. Corrective action requested.,A2001,BR,Closed,
CMP-2023-00821,KZH,2023-07-02,2023-08-10,Hospital reported post-operative imaging revealed Locking Plate bending beyond acceptable limits. Patient required revision surgery. The device was implanted 560 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A1701,US,Closed,
CMP-2021-00297,QPP,2023-10-21,2023-12-05,Reported that the Titanium Rod needle bent on insertion attempt. Three unsuccessful insertion attempts made. Patient experienced pain and bruising at insertion site. IV access established with replacement device.,A0601,JP,Closed,
CMP-2021-00055,QPP,2023-12-26,2024-02-10,Field service engineer noted Titanium Rod separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 129 days post-implant. Patient age: 45 years.,A0101,BR,Closed,
CMP-2022-00543,KZH,2021-06-28,2021-09-22,Customer reported that the sterile packaging seal was compromised on arrival. The device was not used. Complaint received during incoming inspection. Lot LOT8024165. Packaging integrity testing requested on retained samples.,A0501,US,Closed,
CMP-2021-00210,FRY,2024-02-02,2024-02-27,"Catheter reported to have kinked proximal to the Drip Chamber during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A1001,IN,Closed,
CMP-2023-00605,FTZ,2023-02-23,2023-03-23,"Clinical engineer reported that the device software displayed an incorrect calibration reading, prompting a clinical hold. Firmware version v3.0.18. No patient harm. Device isolated for software diagnostic.",A0301,CA,Closed,
CMP-2023-00693,QPP,2021-02-10,2021-04-03,"User reported that the hazardous drug Titanium Rod connector leaked during disconnection, resulting in staff exposure to chemotherapy agent. Occupational health protocol activated. Incident reported to hospital safety committee.",A1701,BR,Closed,
CMP-2023-00663,KZG,2022-04-29,2022-06-28,"User reported that the hazardous drug Needle/Catheter connector leaked during disconnection, resulting in staff exposure to chemotherapy agent. Occupational health protocol activated. Incident reported to hospital safety committee.",A1001,JP,Closed,
CMP-2023-00867,OZO,2022-03-21,2022-05-17,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A0105,CA,Closed,
CMP-2021-00071,KZG,2022-09-11,2022-10-31,User reported that the Needle/Catheter hub cracked upon connection to the extension set. No patient injury. Device was discarded and procedure completed with a replacement device. Complaint originated from a hospital in BR market.,A0101,BR,Closed,
CMP-2022-00544,QPP,2024-03-08,,Field service engineer noted Titanium Rod separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 559 days post-implant. Patient age: 29 years.,A0105,EU,Open,
CMP-2021-00108,KZE,2022-04-20,2022-06-03,"Clinician reported Tube Stopper leak during balloon inflation. Procedure was IV fluid administration. Patient experienced minor blood loss, no intervention required. Device lot LOT8627651 returned for analysis. The event occurred during the first inflation cycle.",A2001,US,Closed,
CMP-2022-00494,KZE,2023-07-19,,,A1001,JP,Investigating,Missing event_description; 
CMP-2022-00591,KZH,2023-09-02,2023-11-02,Reported that the Locking Plate needle bent on insertion attempt. Three unsuccessful insertion attempts made. Patient experienced pain and bruising at insertion site. IV access established with replacement device.,A0101,AU,Closed,
CMP-2023-00742,FRY,2024-02-27,2024-03-20,Nurse reported that the Drip Chamber drip chamber cracked upon spiking the IV bag. IV solution leaked onto the patient's bed. Procedure delayed by 15 minutes. No patient harm. Device returned. Lot LOT8576760.,A0801,EU,Closed,
CMP-2021-00293,DXX,2024-02-26,2024-04-21,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A1501,IN,Closed,
CMP-2021-00290,XXX-999,2022-04-20,2022-05-31,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A0301,CA,Closed,Unknown product_code; 
CMP-2023-00653,KZH,2024-02-19,2024-03-18,"Catheter reported to have kinked proximal to the Locking Plate during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A1301,JP,Closed,
CMP-2021-00040,MQP,2024-03-23,2024-05-14,"Catheter reported to have kinked proximal to the Pedicle Screw during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A0105,US,Closed,
CMP-2022-00590,FRY,2021-03-29,2021-04-28,Hospital reported post-operative imaging revealed Drip Chamber bending beyond acceptable limits. Patient required revision surgery. The device was implanted 241 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A1301,JP,Closed,
CMP-2022-00308,OZO,2023-09-12,2023-11-19,"User reported that the hazardous drug Connector connector leaked during disconnection, resulting in staff exposure to chemotherapy agent. Occupational health protocol activated. Incident reported to hospital safety committee.",A0301,CA,Closed,
CMP-2023-00680,KWQ,2023-07-26,2023-09-17,Hospital reported post-operative imaging revealed Intramedullary Nail bending beyond acceptable limits. Patient required revision surgery. The device was implanted 316 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A2001,BR,Closed,
CMP-2021-00067,OZO,2024-06-05,2024-08-03,Pharmacy reported that the Connector lid mechanism failed to activate the locking feature after designated fill level was reached. Potential needlestick hazard identified. No injury occurred. Device quarantined. Corrective action requested.,A1301,CA,Closed,
CMP-2021-00276,QPP,2021-01-19,2021-04-08,Customer reported that the sterile packaging seal was compromised on arrival. The device was not used. Complaint received during incoming inspection. Lot LOT3927571. Packaging integrity testing requested on retained samples.,A0801,BR,Closed,
CMP-2021-00068,FRN,2023-11-02,2024-01-18,Reported that the Balloon needle bent on insertion attempt. Three unsuccessful insertion attempts made. Patient experienced pain and bruising at insertion site. IV access established with replacement device.,A0101,IN,Closed,
CMP-2022-00319,QPP,2022-01-10,2022-03-24,User reported that the Titanium Rod hub cracked upon connection to the extension set. No patient injury. Device was discarded and procedure completed with a replacement device. Complaint originated from a hospital in EU market.,A1301,EU,Closed,
CMP-2022-00549,MQP,2023-08-31,2023-11-17,"Clinical engineer reported that the device software displayed an incorrect calibration reading, prompting a clinical hold. Firmware version v2.5.87. No patient harm. Device isolated for software diagnostic.",A0105,US,Closed,
CMP-2024-00999,DXX,2022-08-25,2022-09-21,"Clinical engineer reported that the device software displayed an incorrect calibration reading, prompting a clinical hold. Firmware version v1.7.14. No patient harm. Device isolated for software diagnostic.",A0101,IN,Closed,
CMP-2023-00715,FRN,2021-07-24,2021-10-05,"Catheter reported to have kinked proximal to the Balloon during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A0105,JP,Closed,
CMP-2023-00754,KWQ,2021-08-14,,"User reported that the hazardous drug Intramedullary Nail connector leaked during disconnection, resulting in staff exposure to chemotherapy agent. Occupational health protocol activated. Incident reported to hospital safety committee.",A1301,US,Open,
CMP-2022-00328,KZH,2024-09-15,2024-11-22,Field service engineer noted Locking Plate separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 698 days post-implant. Patient age: 39 years.,A2001,US,Closed,
CMP-2022-00383,GYN,2023-04-15,2023-07-02,"Clinician reported Lid Mechanism leak during balloon inflation. Procedure was percutaneous transluminal angioplasty (PTA). Patient experienced minor blood loss, no intervention required. Device lot LOT7919142 returned for analysis. The event occurred during the first inflation cycle.",A1601,AU,Closed,
CMP-2022-00452,GYN,2022-09-07,2022-10-06,"Catheter reported to have kinked proximal to the Lid Mechanism during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A1601,JP,Closed,
CMP-2022-00523,FRN,2024-02-11,2024-03-05,Reported that the Balloon needle bent on insertion attempt. Three unsuccessful insertion attempts made. Patient experienced pain and bruising at insertion site. IV access established with replacement device.,A0301,EU,Closed,
CMP-2021-00219,KWQ,2022-11-05,2022-11-25,"Clinical engineer reported that the device software displayed an incorrect calibration reading, prompting a clinical hold. Firmware version v2.3.69. No patient harm. Device isolated for software diagnostic.",A1701,BR,Closed,
CMP-2023-00788,FRN,2022-06-13,,User reported that the Balloon hub cracked upon connection to the extension set. No patient injury. Device was discarded and procedure completed with a replacement device. Complaint originated from a hospital in BR market.,A0301,BR,Open,
CMP-2022-00437,KZE,2022-05-22,2022-07-09,Reported that the Tube Stopper needle bent on insertion attempt. Three unsuccessful insertion attempts made. Patient experienced pain and bruising at insertion site. IV access established with replacement device.,A2001,IN,Closed,
CMP-2023-00765,XXX-999,2024-04-09,2024-07-05,"Catheter reported to have kinked proximal to the Needle/Catheter during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A0105,JP,Closed,Unknown product_code; 
CMP-2021-00089,GYN,2022-12-18,2023-02-04,Hospital reported post-operative imaging revealed Lid Mechanism bending beyond acceptable limits. Patient required revision surgery. The device was implanted 409 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A1301,AU,Closed,
CMP-2021-00064,GYN,2021-08-22,2021-11-14,Syringe plunger reported to have detached from the barrel during medication administration. Medication was lost. No patient injury. Complaint received directly from nursing staff.,A0501,IN,Closed,
CMP-2023-00827,FRY,2022-04-24,2022-07-18,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A1601,AU,Closed,
CMP-2023-00717,KZG,2024-09-20,2024-11-07,Reported that the Needle/Catheter needle bent on insertion attempt. Three unsuccessful insertion attempts made. Patient experienced pain and bruising at insertion site. IV access established with replacement device.,A1301,JP,Closed,
CMP-2022-00352,KZG,2024-04-12,2024-04-29,"Catheter reported to have kinked proximal to the Needle/Catheter during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A0301,IN,Closed,
CMP-2024-00937,KZE,2022-07-11,2022-08-27,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A2001,AU,Closed,
CMP-2021-00257,KZH,2024-01-17,2024-03-27,Customer reported that the sterile packaging seal was compromised on arrival. The device was not used. Complaint received during incoming inspection. Lot LOT2503875. Packaging integrity testing requested on retained samples.,A1301,JP,Closed,
CMP-2023-00636,KWQ,2021-10-14,2021-11-16,Field service engineer noted Intramedullary Nail separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 562 days post-implant. Patient age: 46 years.,A1501,CA,Closed,
CMP-2023-00645,KZH,2024-07-06,2024-09-15,"Clinical engineer reported that the device software displayed an incorrect calibration reading, prompting a clinical hold. Firmware version v2.2.25. No patient harm. Device isolated for software diagnostic.",A0301,US,Closed,
CMP-2022-00555,MQP,2023-12-25,2024-01-16,Reported that the Pedicle Screw needle bent on insertion attempt. Three unsuccessful insertion attempts made. Patient experienced pain and bruising at insertion site. IV access established with replacement device.,A0801,IN,Closed,
CMP-2024-00960,GYN,,2024-08-05,"Clinician reported Lid Mechanism leak during balloon inflation. Procedure was blood sample collection. Patient experienced minor blood loss, no intervention required. Device lot LOT6283161 returned for analysis. The event occurred during the first inflation cycle.",A0801,IN,Closed,Missing received_date; 
CMP-2021-00169,GYN,2021-08-31,2021-10-03,Field service engineer noted Lid Mechanism separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 94 days post-implant. Patient age: 41 years.,A1501,CA,Closed,
CMP-2024-00918,FRY,2022-11-15,2022-12-27,Customer reported that the Drip Chamber fractured intraoperatively during peripheral arterial stenting. The patient is a 72-year-old male. The device was implanted 45 days prior to the reported event. Surgeon noted the fracture occurred during rod contouring. No patient injury reported at time of event. Sample return requested. Lot number LOT5507497.,A0101,IN,Closed,
CMP-2022-00529,FRY,2022-12-12,,Nurse reported that the Drip Chamber drip chamber cracked upon spiking the IV bag. IV solution leaked onto the patient's bed. Procedure delayed by 15 minutes. No patient harm. Device returned. Lot LOT9523800.,A1001,JP,Investigating,
CMP-2023-00824,KWQ,2021-12-12,,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A1501,EU,Investigating,
CMP-2024-00986,QPP,2021-11-30,2021-12-28,User reported that the Titanium Rod hub cracked upon connection to the extension set. No patient injury. Device was discarded and procedure completed with a replacement device. Complaint originated from a hospital in JP market.,A1501,JP,Closed,
CMP-2023-00817,FRN,2023-01-10,,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A2001,EU,Investigating,
CMP-2021-00087,MQP,,2021-09-25,User reported that the Pedicle Screw hub cracked upon connection to the extension set. No patient injury. Device was discarded and procedure completed with a replacement device. Complaint originated from a hospital in JP market.,A1001,JP,Closed,Missing received_date; 
CMP-2022-00433,QPP,2023-02-02,2023-03-18,Field service engineer noted Titanium Rod separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 347 days post-implant. Patient age: 69 years.,A0301,US,Closed,
CMP-2021-00185,KWQ,2024-10-27,2025-01-25,Customer reported that the Intramedullary Nail fractured intraoperatively during IV fluid administration. The patient is a 33-year-old female. The device was implanted 689 days prior to the reported event. Surgeon noted the fracture occurred during rod contouring. No patient injury reported at time of event. Sample return requested. Lot number LOT8617787.,A1301,CA,Closed,
CMP-2024-00979,MQP,2022-06-14,,"Catheter reported to have kinked proximal to the Pedicle Screw during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A0501,IN,Investigating,
